Wave direction
0.00000e+00
    Frequency      Surge          Sway           Heave          Roll           Pitch          Yaw
1.43200000e+00 1.36589856e-03 1.86039255e-03 1.92441765e-03 6.47543905e-05 7.32671486e-05 1.43364347e-05
1.49600000e+00 8.43255393e-04 2.25414451e-03 1.13045153e-03 6.15804662e-05 4.58387502e-05 1.74654594e-05
1.57000000e+00 7.22356274e-04 7.40779983e-04 1.03705661e-03 5.46618780e-05 3.02137461e-05 1.31832766e-05
1.65500000e+00 6.01763785e-04 8.43305068e-04 1.03485099e-03 6.19771175e-05 3.50262431e-05 1.67760122e-05
1.75500000e+00 5.38921222e-04 4.93258669e-04 6.81480256e-04 5.14866205e-05 2.60779553e-05 1.79316651e-05
1.87700000e+00 4.31695505e-04 1.95186909e-05 5.87407331e-04 3.22812998e-05 2.26485789e-05 1.08576072e-05
2.02700000e+00 6.72705381e-04 2.25473774e-04 3.95284118e-04 3.18074792e-05 2.15785162e-05 5.28677274e-06
2.22100000e+00 1.46238633e-04 2.46400696e-04 4.97964397e-04 2.63323185e-05 1.14994859e-05 4.92485506e-06
2.48300000e+00 2.98090469e-04 8.08985398e-05 3.49383955e-04 1.62210383e-05 1.06690925e-05 2.58092020e-06
2.86700000e+00 6.31357117e-05 1.28119538e-04 9.27221967e-05 1.56397270e-06 3.03822546e-06 4.81360173e-07
3.51100000e+00 2.07453701e-05 1.19372416e-04 1.86572613e-05 7.09221735e-07 9.33747932e-07 1.59113823e-06
Wave direction
1.04720e+00
    Frequency      Surge          Sway           Heave          Roll           Pitch          Yaw
4.30000000e-02 8.94142133e+00 1.50999317e+01 9.88302173e-01 3.03467477e-03 1.66450858e-03 2.12954347e-02
4.40000000e-02 8.73730673e+00 1.47475775e+01 9.87893084e-01 3.11521441e-03 1.70260016e-03 2.12908722e-02
4.50000000e-02 8.54227477e+00 1.44105837e+01 9.87443446e-01 3.19060822e-03 1.74052136e-03 2.12833159e-02
4.60000000e-02 8.35541270e+00 1.40879996e+01 9.87016438e-01 3.26262619e-03 1.77840422e-03 2.12752212e-02
4.80000000e-02 8.00547709e+00 1.34823362e+01 9.86184408e-01 3.39476530e-03 1.85414035e-03 2.12551622e-02
4.90000000e-02 7.84090538e+00 1.31979923e+01 9.85769177e-01 3.47009022e-03 1.89174463e-03 2.12500840e-02
5.10000000e-02 7.53000424e+00 1.26619214e+01 9.84916629e-01 3.61770915e-03 1.96644631e-03 2.12257882e-02
5.20000000e-02 7.38420955e+00 1.24091946e+01 9.84522464e-01 3.68732014e-03 2.00417777e-03 2.12202905e-02
5.40000000e-02 7.10700137e+00 1.19314543e+01 9.83675010e-01 3.84931724e-03 2.07850363e-03 2.12026435e-02
5.60000000e-02 6.84954452e+00 1.14868581e+01 9.82747638e-01 3.98383985e-03 2.15296697e-03 2.11826258e-02
5.80000000e-02 6.61349860e+00 1.10691756e+01 9.80423343e-01 3.79362017e-03 2.22572457e-03 2.13063894e-02
6.00000000e-02 6.38656184e+00 1.06864929e+01 9.81896069e-01 4.33676548e-03 2.30462038e-03 2.11348896e-02
6.20000000e-02 6.17390051e+00 1.03217180e+01 9.80161144e-01 4.42270458e-03 2.37466199e-03 2.10989546e-02
6.50000000e-02 5.88182833e+00 9.81868539e+00 9.78850395e-01 4.65051637e-03 2.48458850e-03 2.10900806e-02
